Wavelength (nm)	62231 Avg	avg std	62231 scaled avg	sc avg std
300.00	0.07254	0.0037666	0.40935	0.0080461
305.00	0.07532	0.0034210	0.42521	0.011933
310.00	0.07650	0.0031262	0.43187	0.0086824
315.00	0.07785	0.0037552	0.43939	0.0083534
320.00	0.07910	0.0033684	0.44649	0.0069821
325.00	0.08064	0.0033848	0.45518	0.0074129
330.00	0.08223	0.0032473	0.46419	0.0047312
335.00	0.08336	0.0036305	0.47053	0.0069662
340.00	0.08481	0.0034827	0.47873	0.0061635
345.00	0.08648	0.0037282	0.48811	0.0067169
350.00	0.08815	0.0034977	0.49758	0.0062470
355.00	0.08954	0.0036140	0.50542	0.0051232
360.00	0.09092	0.0038643	0.51318	0.0062688
365.00	0.09282	0.0037823	0.52392	0.0039711
370.00	0.09444	0.0039492	0.53302	0.0042908
375.00	0.09605	0.0042927	0.54207	0.0057331
380.00	0.09755	0.0043455	0.55054	0.0054359
385.00	0.09914	0.0043979	0.55954	0.0056245
390.00	0.10064	0.0043971	0.56800	0.0056395
395.00	0.10221	0.0045048	0.57685	0.0053867
400.00	0.10331	0.0044855	0.58305	0.0055043
405.00	0.10511	0.0043815	0.59326	0.0039638
410.00	0.10654	0.0047957	0.60127	0.0063635
415.00	0.10796	0.0049358	0.60929	0.0071129
420.00	0.10901	0.0048752	0.61523	0.0067504
425.00	0.11075	0.0047302	0.62508	0.0067432
430.00	0.11212	0.0048234	0.63280	0.0073393
435.00	0.11345	0.0050769	0.64029	0.0078319
440.00	0.11472	0.0051285	0.64745	0.0079962
445.00	0.11606	0.0052639	0.65502	0.0082443
450.00	0.11740	0.0053272	0.66255	0.0083476
455.00	0.11913	0.0050676	0.67236	0.0053006
460.00	0.12004	0.0054255	0.67748	0.0084312
465.00	0.12128	0.0055156	0.68444	0.0085068
470.00	0.12274	0.0054688	0.69272	0.0078756
475.00	0.12432	0.0052284	0.70168	0.0047267
480.00	0.12562	0.0052925	0.70897	0.0052392
485.00	0.12687	0.0052894	0.71606	0.0049090
490.00	0.12798	0.0052334	0.72233	0.0046626
495.00	0.12919	0.0053464	0.72914	0.0048858
500.00	0.13049	0.0054206	0.73651	0.0048455
505.00	0.13164	0.0056388	0.74296	0.0057950
