band	wl
1	712.3
2	729.2
3	746.0
4	762.9
5	779.7
6	796.6
7	813.4
8	830.3
9	847.2
10	864.0
11	880.9
12	897.7
13	914.6
14	931.4
15	948.3
16	965.1
17	982.0
18	998.8
19	1015.7
20	1032.5
21	1049.4
22	1066.2
23	1083.1
24	1099.9
25	1116.8
26	1133.6
27	1150.5
28	1167.3
29	1184.2
30	1201.1
31	1217.9
32	1234.8
33	1251.6
34	1268.5
35	1285.3
36	1302.2
37	1319.0
38	1335.9
39	1352.7
40	1369.6
41	1386.4
42	1403.3
43	1420.1
44	1437.0
45	1453.8
46	1470.7
47	1487.5
48	1504.4
49	1521.2
50	1538.1
51	1555.0
52	1571.8
53	1588.7
54	1605.5
55	1622.4
56	1639.2
57	1656.1
58	1672.9
59	1689.8
60	1706.6
61	1723.5
62	1740.3
63	1757.2
64	1774.0
65	1790.9
66	1807.7
67	1824.6
68	1841.4
69	1858.3
70	1875.1
71	1892.0
72	1908.9
73	1925.7
74	1942.6
75	1959.4
76	1976.3
77	1993.1
78	2010.0
79	2026.8
80	2043.7
81	2060.5
82	2077.4
83	2094.2
84	2111.1
85	2127.9
86	2144.8
87	2161.6
88	2178.5
89	2195.3
90	2212.2
91	2229.0
92	2245.9
93	2262.8
94	2279.6
95	2296.5
96	2313.3
97	2330.2
98	2347.0
99	2363.9
100	2380.7
101	2397.6
102	2414.4
103	2431.3
104	2448.1
105	2465.0
106	2481.8
107	2498.7
108	2515.5
109	2532.4
110	2549.2
111	2566.1
112	2582.9
113	2599.8
114	2616.7
115	2633.5
116	2650.4
117	2667.2
118	2684.1
119	2700.9
120	2717.8
121	2734.6
122	2751.5
123	2768.3
124	2785.2
125	2802.0
126	2818.9
127	2835.7
128	2852.6
129	2869.4
130	2886.3
131	2903.1
132	2920.0
133	2936.8
134	2953.7
135	2970.6
136	2987.4
137	3004.3
138	3021.1
139	3038.0
140	3054.8
141	3071.7
142	3088.5
143	3105.4
144	3122.2
145	3139.1
146	3155.9
147	3172.8
148	3189.6
149	3206.5
150	3223.3
151	3240.2
152	3257.0
153	3273.9
154	3290.7
155	3307.6
156	3324.5
157	3341.3
158	3358.2
159	3375.0
160	3391.9
161	3408.7
162	3425.6
163	3442.4
164	3459.3
165	3476.1
166	3493.0
167	3509.8
168	3526.7
169	3543.5
170	3560.4
171	3577.2
172	3594.1
173	3610.9
174	3627.8
175	3644.6
176	3661.5
177	3678.3
178	3695.2
179	3712.1
180	3728.9
181	3745.8
182	3762.6
183	3779.5
184	3796.3
185	3813.2
186	3830.0
187	3846.9
188	3863.7
189	3880.6
190	3897.4
191	3914.3
192	3931.1
193	3948.0
194	3964.8
195	3981.7
196	3998.5
197	4015.4
198	4032.2
199	4049.1
200	4066.0
201	4082.8
202	4099.7
203	4116.5
204	4133.4
205	4150.2
206	4167.1
207	4183.9
208	4200.8
209	4217.6
210	4234.5
211	4251.3
212	4268.2
213	4285.0
214	4301.9
215	4318.7
216	4335.6
217	4352.4
218	4369.3
219	4386.1
220	4403.0
221	4419.9
222	4436.7
223	4453.6
224	4470.4
225	4487.3
226	4504.1
227	4521.0
228	4537.8
229	4554.7
230	4571.5
231	4588.4
232	4605.2
233	4622.1
234	4638.9
235	4655.8
236	4672.6
237	4689.5
238	4706.3
239	4723.2
240	4740.0
241	4756.9
242	4773.8
243	4790.6
244	4807.5
245	4824.3
246	4841.2
247	4858.0
248	4874.9
249	4891.7
250	4908.6
251	4925.4
252	4942.3
253	4959.1
254	4976.0
255	4992.8
256	5009.7
